"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35771","A000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","CON-","","","RECLAS-","","MENTS","", , , , , 
"-------------","-------------", ,"","","","EMPLOYEE","","TRACTED","","","SIFICATION","","(Increase/","", , , , , 
"-------------","-------------", ,"","","SALARIES","BENEFITS","TRANSPOR-","SERVICES","","","(Increase/","","Decrease)","", , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","(From","(From","TATION","(From","","TOTAL","Decrease)","","(Fr Wkst A-8","TOTAL", , , , , 
"-------------","-------------", ,"","","Wkst A-1)","Wkst A-2)","(See inst.)","Wkst A-3)","OTHER","(col. 1-5)","(Fr Wkst A-6)","SUBTOTAL","& A-8-1)","(col.8�col.9)", , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9","10", , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," "," ","","","",""," ","", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[35771] Report(A000000[0000])","Entity[35771] Report(A000000[0100])","Entity[35771] Report(A000000[0200])","Entity[35771] Report(A000000[0300])","Entity[35771] Report(A000000[0400])","Entity[35771] Report(A000000[0500])","Entity[35771] Report(A000000[0600])", ,"Entity[35771] Report(A000000[0800])","Entity[35771] Report(A000000[0900])","Entity[35771] Report(A000000[1000])", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"52381","52381", ,"52381","17451","69832", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"23342","23342", ,"23342", ,"23342", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , ,"5877","44394","50271", ,"50271", ,"50271", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(00400)","0400TRANSPORTATION-STAFF", , , ,"150", ,"150", ,"150", ,"150", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","30541","3133","223", ,"39","33936", ,"33936", ,"33936", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","582604","71162","32458", ,"232605","918829", ,"918829","-157843","760986", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"132565","4106","136671", ,"136671", ,"136671", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(01600)","1600NURSING CARE","418719","79777","2685","8128", ,"509309", ,"509309", ,"509309", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","55140","10122", , , ,"65262", ,"65262", ,"65262", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","43392","4296","3339", , ,"51027", ,"51027", ,"51027", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(02200)","2200DIETARY COUNSELING","455","263", ,"150", ,"868", ,"868", ,"868", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(02300)","2300COUNSELING-OTHER", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","125651","40647","8381", , ,"174679", ,"174679", ,"174679", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(02500)","2500OTHER VISITING SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , , ,"140848","140848", ,"140848", ,"140848", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03030)","3030ANALGESICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03032)","3032OTHER - SPECIFY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , , ,"80000","80000", ,"80000", ,"80000", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , ,"4402", , ,"4402", ,"4402", ,"4402", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03300)","3300IMAGING SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , ,"580","580", ,"580", ,"580", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , , ,"54555","54555", ,"54555", ,"54555", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , , ,"730","730", ,"730", ,"730", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03700)","3700RADIATION THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03800)","3800CHEMOTHERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS", , , , ,"223","223", ,"223", ,"223", , , , , 
"hospc_2013_DATA",35771,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(05200)","5200FUNDRAISING", , , , , , , , , , , , , , , 
"hospc_2013_DATA",35771,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS", , , , ,"555808","555808", ,"555808","-555808", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35771","A100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
