"hospc_2013_DATA",33961,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , ,"24087", ,"24087", ,"24087", ,"24087", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","345115","91331","14146", ,"14477","465069", ,"465069", ,"465069", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","97363","25766","7526", ,"2352","133007", ,"133007", ,"133007", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(02200)","2200DIETARY COUNSELING", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(02300)","2300COUNSELING-OTHER", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","369843","97875","66687", ,"5325","539730", ,"539730", ,"539730", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(02500)","2500OTHER VISITING SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"578147", ,"578147", ,"578147", ,"578147", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03030)","3030ANALGESICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03032)","3032OTHER - SPECIFY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"196790", ,"196790", ,"196790", ,"196790", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"105778", ,"105778", ,"105778", ,"105778", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03300)","3300IMAGING SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"107766", ,"107766", ,"107766", ,"107766", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , ,"23936", ,"23936", ,"23936", ,"23936", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03700)","3700RADIATION THERAPY", , , ,"49640", ,"49640", ,"49640", ,"49640", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03800)","3800CHEMOTHERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",33961,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"5661","4740","10401", ,"10401", ,"10401", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","86497","22891","1937", ,"3361","114686", ,"114686", ,"114686", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , ,"2738","2738", ,"2738", ,"2738", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(05200)","5200FUNDRAISING","75409","19956","2354", ,"30376","128095", ,"128095", ,"128095", , , , , 
"hospc_2013_DATA",33961,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","31857","8431","1543","382173","77403","501407","929","502336","-382173","120163", , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33961","A100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
"-------------","-------------", ,"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS","","","","","","","","","", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , ,"Entity[33961] Report(A100000[0200])","Entity[33961] Report(A100000[0300])","Entity[33961] Report(A100000[0400])","Entity[33961] Report(A100000[0500])", ,"Entity[33961] Report(A100000[0700])","Entity[33961] Report(A100000[0800])","Entity[33961] Report(A100000[0900])", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(00500)", , , , , , , , ,"73230","73230", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(00600)", , , , , , , , ,"1194106","1194106", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(01000)", , , ,"84042","59290","563880", ,"316468","166724","1190404", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(01500)", , ,"259237", , , , , , ,"259237", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(01600)", , , , , ,"1070307", , , ,"1070307", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(02000)", , , ,"345115", , , , , ,"345115", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(02100)", , , , , , , , ,"97363","97363", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(02400)", , , , , , , ,"369843", ,"369843", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(05000)", , , , , , , , ,"86497","86497", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(05200)", , , , , , , , ,"75409","75409", , , , , , 
"hospc_2013_DATA",33961,"A100000","Line(05300)", , , , , , , , ,"31857","31857", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33961","A200000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
"-------------","-------------", ,"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS","","","","","","","","","", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , ,"Entity[33961] Report(A200000[0200])","Entity[33961] Report(A200000[0300])","Entity[33961] Report(A200000[0400])","Entity[33961] Report(A200000[0500])", ,"Entity[33961] Report(A200000[0700])","Entity[33961] Report(A200000[0800])","Entity[33961] Report(A200000[0900])", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(00500)", , , , , , , , ,"19380","19380", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(00600)", , , , , , , , ,"316008","316008", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(01000)", , , ,"22241","15691","149225", ,"83750","44122","315029", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(01500)", , ,"68604", , , , , , ,"68604", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(01600)", , , , , ,"283246", , , ,"283246", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(02000)", , , ,"91331", , , , , ,"91331", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(02100)", , , , , , , , ,"25766","25766", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(02400)", , , , , , , ,"97875", ,"97875", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(05000)", , , , , , , , ,"22891","22891", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(05200)", , , , , , , , ,"19956","19956", , , , , , 
"hospc_2013_DATA",33961,"A200000","Line(05300)", , , , , , , , ,"8431","8431", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33961","A300000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
"-------------","-------------", ,"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS","","","","","","","","","", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , ,"Entity[33961] Report(A300000[0600])", ,"Entity[33961] Report(A300000[0800])","Entity[33961] Report(A300000[0900])", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(00600)", , , , , , , , ,"11968","11968", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(01000)", , , , , , ,"33942", ,"728281","762223", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(01100)", , , , , , , , ,"7981","7981", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(01500)", , , , , , , , ,"65659","65659", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(01700)", , , , , , ,"24087", , ,"24087", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(03000)", , , , , , , , ,"578147","578147", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(03100)", , , , , , , , ,"196790","196790", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(03200)", , , , , , , , ,"105778","105778", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(03500)", , , , , , , , ,"107766","107766", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(03600)", , , , , , , , ,"23936","23936", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(03700)", , , , , , , , ,"49640","49640", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(03900)", , , , , , , , ,"5661","5661", , , , , , 
"hospc_2013_DATA",33961,"A300000","Line(05300)", , , , , , , , ,"382173","382173", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33961","A600010 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","CODE","","","","","","","","", , , , , , 
"-------------","-------------", ,"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[33961] Report(A600010[0000])","Entity[33961] Report(A600010[0100])","Entity[33961] Report(A600010[0200])","Entity[33961] Report(A600010[0300])", ,"Entity[33961] Report(A600010[0500])","Entity[33961] Report(A600010[0600])","Entity[33961] Report(A600010[0700])", ,"Entity[33961] Report(A600010[0900])", , , , , , 
"hospc_2013_DATA",33961,"A600010","Line(00100)","NHPCO DUES TO OTHER PROGRAM COSTS","A","OTHER NONREIMBURSABLE COSTS","53", ,"558","ADMINISTRATIVE AND GENERAL","6", ,"558", , , , , , 
"hospc_2013_DATA",33961,"A600010","Line(00200)","NHPCO DUES TO OTHER PROGRAM COSTS","A","OTHER NONREIMBURSABLE COSTS","53", ,"371","ADMINISTRATIVE AND GENERAL","6", ,"371", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33961","A700000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","Beginning","","","","and","Ending", , , , , , , , , 
"-------------","-------------", ,"","Description","Balances","Purchases","Donation","Total","Retirements","Balance", , , , , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6", , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[33961] Report(A700000[0100])","Entity[33961] Report(A700000[0200])", ,"Entity[33961] Report(A700000[0400])","Entity[33961] Report(A700000[0500])","Entity[33961] Report(A700000[0600])", , , , , , , , , 
"hospc_2013_DATA",33961,"A700000","Line(00100)", ,"399482", , , , ,"399482", , , , , , , , , 
"hospc_2013_DATA",33961,"A700000","Line(00200)", ,"43499", , , ,"43499", , , , , , , , , , 
"hospc_2013_DATA",33961,"A700000","Line(00300)", ,"4757621","724264", ,"724264", ,"5481885", , , , , , , , , 
"hospc_2013_DATA",33961,"A700000","Line(00500)", ,"353970","19408", ,"19408", ,"373378", , , , , , , , , 
"hospc_2013_DATA",33961,"A700000","Line(00700)", ,"5554572","743672", ,"743672","43499","6254745", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33961","A800000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","-1","BASIS  FOR","","","WORKSHEET   A   TO / FROM   WHICH","","", , , , , , , , , 
"-------------","-------------", ,"","Description","ADJUST-","","","THE   AMOUNT  IS  TO  BE  ADJUSTED","","", , , , , , , , , 
"-------------","-------------", ,"","","MENT","AMOUNT","","COST  CENTER","","LINE  NO.", , , , , , , , , 
"-------------","-------------", ,"","","1","2","","3","","4", , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[33961] Report(A800000[0000])","Entity[33961] Report(A800000[0100])","Entity[33961] Report(A800000[0200])","Entity[33961] Report(A800000[0300])","Entity[33961] Report(A800000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",33961,"A800000","Line(00600)", ,"A","-289177","ADMINISTRATIVE AND GENERAL","6", , , , , , , , , , , 
"hospc_2013_DATA",33961,"A800000","Line(00800)","MEDICAID","A","-382173","OTHER NONREIMBURSABLE COSTS","53", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
