"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35836","D000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","", , , , , , , , , , , 
"-------------","-------------", ,"COMPUTATION OF PER DIEM COST","","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , 
"-------------","-------------", ,"","","-1","-2","-3","-4", , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[35836] Report(D000000[0100])","Entity[35836] Report(D000000[0200])","Entity[35836] Report(D000000[0300])","Entity[35836] Report(D000000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",35836,"D000000","Line(00100)", , , , ,"2325041", , , , , , , , , , , 
"hospc_2013_DATA",35836,"D000000","Line(00200)", , , , ,"15448", , , , , , , , , , , 
"hospc_2013_DATA",35836,"D000000","Line(00300)", , , , ,"151", , , , , , , , , , , 
"hospc_2013_DATA",35836,"D000000","Line(00400)", ,"15048", , , , , , , , , , , , , , 
"hospc_2013_DATA",35836,"D000000","Line(00500)", ,"2264874", , , , , , , , , , , , , , 
"hospc_2013_DATA",35836,"D000000","Line(00600)", , ,"327", , , , , , , , , , , , , 
"hospc_2013_DATA",35836,"D000000","Line(00700)", , ,"49217", , , , , , , , , , , , , 
"hospc_2013_DATA",35836,"D000000","Line(01200)", , , ,"73", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
