"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34092","B000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","NET","CAPITAL","RELATED","","","VOLUNTEER","","","","","","","", , 
"-------------","-------------", ,"","","EXPENSES","RELATED","COST","PLANT","","SERVICE","","A & G","","A & G","","A & G","", , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","FOR COST","COST BLDG","MOVABLE","OPERATION","TRANS-","COORDI-","SUBTOTAL","SHARED","SUBTOTAL","REIMB.","SUBTOTAL","NON-REIMB.","", , 
"-------------","-------------", ,"","","ALLOC.","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","(col. 0 - 5)","COSTS","(col. 0 - 6.01","COSTS","(col. 0 - 6.02)","COSTS","TOTAL", , 
"-------------","-------------", ,"","","0","1","2","3","4","5","5A","6.01","6A.01","6.02","6A.02","6.03","7", , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," ","","","","","",""," ","","","", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[34092] Report(B000000[0000])","Entity[34092] Report(B000000[0100])", ,"Entity[34092] Report(B000000[0300])","Entity[34092] Report(B000000[0400])","Entity[34092] Report(B000000[0500])","Entity[34092] Report(B000000[0600])","Entity[34092] Report(B000000[0700])", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(00100)","256319","256319", , , , , , , , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(00300)","527072", , ,"527072", , , , , , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(00400)","6985", , , ,"6985", , , , , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(00500)","124361","5188", ,"10668", ,"140217", , , , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(00600)","3432084","85089", ,"174969","6985","140217","3839344", , , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(01000)","2969238","108732", ,"223587", , ,"1287608","4589165", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(01100)", ,"8563", ,"17608", , ,"10207","36378", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(01500)","263165","2851", ,"5862", , ,"106032","377910", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(01600)","2478410","13586", ,"27938", , ,"982774","3502708", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(01620)","127", , , , , ,"50","177", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(01700)","9793", , , , , ,"3819","13612", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(02000)","337310","2620", ,"5387", , ,"134674","479991", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(02100)","207772","976", ,"2007", , ,"82194","292949", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(02200)", ,"308", ,"634", , ,"367","1309", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(02400)","675396", , , , , ,"263404","938800", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(02500)","168562", , , , , ,"65739","234301", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(03000)","777541","5137", ,"10563", , ,"309364","1102605", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(03100)","465173", , , , , ,"181417","646590", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(03200)","37754", , , , , ,"14724","52478", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(03300)","3951", , , , , ,"1541","5492", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(03400)","44328", , , , , ,"17288","61616", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(03500)","191880","7859", ,"16161", , ,"84201","300101", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(03600)","1334", , , , , ,"520","1854", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(03700)","18249", , , , , ,"7117","25366", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(03900)","131", , , , , ,"51","182", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(05000)","243579","12328", ,"25350", , ,"109690","390947", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(05100)","2391", , , , , ,"932","3323", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(05200)","132835","3082", ,"6338", , ,"55479","197734", , , , , , , , 
"hospc_2013_DATA",34092,"B000000","Line(05300)","308083", , , , , ,"120152","428235", , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34092","B10000* ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","NET","CAPITAL","RELATED","","","VOLUNTEER","","","","","","","", , 
"-------------","-------------", ,"","","EXPENSES","RELATED","COST","PLANT","","SERVICE","","A & G","","A & G","","A & G","", , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","FOR COST","COST BLDG","MOVABLE","OPERATION","TRANS-","COORDI-","SUBTOTAL","SHARED","SUBTOTAL","REIMB.","SUBTOTAL","NON-REIMB.","", , 
"-------------","-------------", ,"","","ALLOC.","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","(col. 0 - 5)","COSTS","(col. 0 - 6.01","COSTS","(col. 0 - 6.02)","COSTS","TOTAL", , 
"-------------","-------------", ,"","","0","1","2","3","4","5","5A","6.01","6A.01","6.02","6A.02","6.03","7", , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," ","","","","","",""," ","","","", , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34092] Report(B10000*[0100])","Entity[34092] Report(B10000*[0200])","Entity[34092] Report(B10000*[0300])","Entity[34092] Report(B10000*[0400])","Entity[34092] Report(B10000*[0500])","Entity[34092] Report(B10000*[0600])", , , , , , , , , 
"hospc_2013_DATA",34092,"B10000*","Line(00100)", ,"CAPITAL","CAPITAL","PLANT","TRANS-","VOLUNT.","ADMINIS-", , , , , , , , , 
"hospc_2013_DATA",34092,"B10000*","Line(00200)", ,"BLDGS &","MOVABLE","OPER. &","PORTAT-","SERVICES","TRATIVE &", , , , , , , , , 
"hospc_2013_DATA",34092,"B10000*","Line(00300)", ,"FIXTURES","EQUIPMENT","MAINT.","ION","COORDI.","GENERAL", , , , , , , , , 
"hospc_2013_DATA",34092,"B10000*","Line(00400)", ,"SQUARE","DOLLAR","SQUARE","MILEAGE","HOURS OF","ACCUM.", , , , , , , , , 
"hospc_2013_DATA",34092,"B10000*","Line(00500)", ,"FEET","VALUE","FEET", ,"SERVICE","COSTS", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34092","B100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","CAPITAL","RELATED","","","VOLUNTEER","","","","","", , , , , 
"-------------","-------------", ,"","","RELATED","COST","PLANT","","SERVICE","","ADMINIS-","A & G","A & G","A & G", , , , , 
"-------------","-------------", ,"","","COST BLDG ","MOVABLE","OPERATION","TRANS-","COORDI-","","TRATIVE  &","SHARED","REIMB.","NON-REIMB.", , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","& FIXTURES","EQUIPMENT","& MAINT.","PORTATION","NATOR","RECONCI-","GENERAL","COSTS","COSTS","COSTS", , , , , 
"-------------","-------------", ,"","","(SQ. FT.)","$ VALUE)","(SQ. FT.)","(MILEAGE)","(HOURS)","LIATION","(ACC. COST)","(ACC. COST)","(ACC. COST)","(ACC. COST)", , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6A","6","6.01","6.02","6.03", , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS"," "," ","","","","","",""," ","", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34092] Report(B100000[0100])","Entity[34092] Report(B100000[0200])","Entity[34092] Report(B100000[0300])","Entity[34092] Report(B100000[0400])","Entity[34092] Report(B100000[0500])","Entity[34092] Report(B100000[0600])", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(00000)", , , , , , ,"X", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(00100)", ,"49900", , , , , , , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(00200)", , ,"49900", , , , , , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(00300)", , , ,"49900", , , , , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(00400)", , , , ,"17002", , , , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(00500)", ,"1010","1010","1010", ,"5918", , , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(00600)", ,"16565","16565","16565","17002","5918","9844479", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(01000)", ,"21168","21168","21168", , ,"3301557", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(01100)", ,"1667","1667","1667", , ,"26171", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(01500)", ,"555","555","555", , ,"271878", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(01600)", ,"2645","2645","2645", , ,"2519934", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(01620)", , , , , , ,"127", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(01700)", , , , , , ,"9793", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(02000)", ,"510","510","510", , ,"345317", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(02100)", ,"190","190","190", , ,"210755", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(02200)", ,"60","60","60", , ,"942", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(02400)", , , , , , ,"675396", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(02500)", , , , , , ,"168562", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(03000)", ,"1000","1000","1000", , ,"793241", , , , , , , , , 
"hospc_2013_DATA",34092,"B100000","Line(03100)", , , , , , ,"465173", , , , , , , , , 
