"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34103","A000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","CON-","","","RECLAS-","","MENTS","", , , , , 
"-------------","-------------", ,"","","","EMPLOYEE","","TRACTED","","","SIFICATION","","(Increase/","", , , , , 
"-------------","-------------", ,"","","SALARIES","BENEFITS","TRANSPOR-","SERVICES","","","(Increase/","","Decrease)","", , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","(From","(From","TATION","(From","","TOTAL","Decrease)","","(Fr Wkst A-8","TOTAL", , , , , 
"-------------","-------------", ,"","","Wkst A-1)","Wkst A-2)","(See inst.)","Wkst A-3)","OTHER","(col. 1-5)","(Fr Wkst A-6)","SUBTOTAL","& A-8-1)","(col.8�col.9)", , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9","10", , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS",""," "," "," ","","","",""," ","", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[34103] Report(A000000[0000])","Entity[34103] Report(A000000[0100])","Entity[34103] Report(A000000[0200])","Entity[34103] Report(A000000[0300])","Entity[34103] Report(A000000[0400])","Entity[34103] Report(A000000[0500])","Entity[34103] Report(A000000[0600])","Entity[34103] Report(A000000[0700])","Entity[34103] Report(A000000[0800])","Entity[34103] Report(A000000[0900])","Entity[34103] Report(A000000[1000])", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(00100)","0100CAPITAL REL COSTS-BLDG & FIXT", , , , ,"71656","71656", ,"71656", ,"71656", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(00200)","0200CAPITAL REL COSTS-MOVABLE EQUIP", , , , ,"42459","42459", ,"42459", ,"42459", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(00300)","0300PLANT OPERATION AND MAINTENANCE", , , , ,"5017","5017", ,"5017", ,"5017", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(00400)","0400TRANSPORTATION-STAFF", , ,"14514", , ,"14514", ,"14514", ,"14514", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(00500)","0500VOLUNTEER SERVICE COORDINATION","35133","6271", ,"1013","1260","43677", ,"43677", ,"43677", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(00600)","0600ADMINISTRATIVE AND GENERAL","495866","88515","6423","55162","204439","850405","-347","850058","-7111","842947", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(01000)","1000INPATIENT- GENERAL CARE", , , ,"88379", ,"88379", ,"88379", ,"88379", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(01100)","1100INPATIENT- RESPITE CARE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(01500)","1500PHYSICIAN SERVICES", , , ,"24000", ,"24000", ,"24000", ,"24000", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(01600)","1600NURSING CARE","591651","105614","50825","90", ,"748180", ,"748180", ,"748180", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(01620)","1620NURSING CARE - CONTINUOUS HOME C", , , ,"267712", ,"267712", ,"267712", ,"267712", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(01700)","1700PHYSICAL THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(01800)","1800OCCUPATIONAL THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(01900)","1900SPEECH/LANGUAGE PATHOLOGY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(02000)","2000MEDICAL SOCIAL SERVICES","73999","13209","10199", , ,"97407", ,"97407", ,"97407", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(02100)","2100SPIRITUAL COUNSELING","83698","14941","10423", , ,"109062", ,"109062", ,"109062", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(02200)","2200DIETARY COUNSELING", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(02300)","2300COUNSELING-OTHER", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(02400)","2400HOME HEALTH AIDE AND HOMEMAKER","142801","25491","31304", , ,"199596", ,"199596", ,"199596", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(02420)","2420HH AIDE & HOMEMAKER - CONT HOME", , , ,"6700", ,"6700", ,"6700", ,"6700", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(02500)","2500OTHER VISITING SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03000)","3000DRUGS  BIOLOGICAL AND INFUSION", , , ,"283548", ,"283548", ,"283548", ,"283548", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03030)","3030ANALGESICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03031)","3031SEDATIVES/HYPNOTICS", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03032)","3032OTHER - SPECIFY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03100)","3100DURABLE MEDICAL EQUIPMENT/OXYGEN", , , ,"138380", ,"138380", ,"138380", ,"138380", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03200)","3200PATIENT TRANSPORTATION", , , ,"7564", ,"7564", ,"7564", ,"7564", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03300)","3300IMAGING SERVICES", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03400)","3400LABS AND DIAGNOSTICS", , , ,"371", ,"371", ,"371", ,"371", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03500)","3500MED SUPPLIES CHARGED TO PATIENTS", , , ,"61301", ,"61301", ,"61301", ,"61301", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03600)","3600OUTPATIENT SERVICES (INCL E/R DE", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03700)","3700RADIATION THERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03800)","3800CHEMOTHERAPY", , , , , , , , , , , , , , , 
"hospc_2013_DATA",34103,"A000000","Line(03900)","3900OTHER HOSPICE SERVICE COST CENTE", , , ,"44232", ,"44232", ,"44232", ,"44232", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(05000)","5000BEREAVEMENT PROGRAM COSTS","1514","270", , ,"1164","2948", ,"2948", ,"2948", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(05100)","5100VOLUNTEER PROGRAM COSTS", , , , ,"148","148", ,"148", ,"148", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(05200)","5200FUNDRAISING","12393","2212", , ,"12534","27139", ,"27139", ,"27139", , , , , 
"hospc_2013_DATA",34103,"A000000","Line(05300)","5300OTHER NONREIMBURSABLE COSTS","194719","34758","11890","45572","77255","364194","347","364541","-40635","323906", , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34103","A100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
"-------------","-------------", ,"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS","","","","","","","","","", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , ,"Entity[34103] Report(A100000[0200])","Entity[34103] Report(A100000[0300])","Entity[34103] Report(A100000[0400])","Entity[34103] Report(A100000[0500])", ,"Entity[34103] Report(A100000[0700])","Entity[34103] Report(A100000[0800])","Entity[34103] Report(A100000[0900])", , , , , , 
"hospc_2013_DATA",34103,"A100000","Line(00500)", , , , ,"35133", , , , ,"35133", , , , , , 
"hospc_2013_DATA",34103,"A100000","Line(00600)", , , , , , , , ,"495866","495866", , , , , , 
"hospc_2013_DATA",34103,"A100000","Line(01600)", , , , ,"78757","512894", , , ,"591651", , , , , , 
"hospc_2013_DATA",34103,"A100000","Line(02000)", , , ,"73999", , , , , ,"73999", , , , , , 
"hospc_2013_DATA",34103,"A100000","Line(02100)", , , , , , , , ,"83698","83698", , , , , , 
"hospc_2013_DATA",34103,"A100000","Line(02400)", , , , , , , ,"142801", ,"142801", , , , , , 
"hospc_2013_DATA",34103,"A100000","Line(05000)", , , , ,"1514", , , , ,"1514", , , , , , 
"hospc_2013_DATA",34103,"A100000","Line(05200)", , , , , , , , ,"12393","12393", , , , , , 
"hospc_2013_DATA",34103,"A100000","Line(05300)", , ,"25419", , , , , ,"169300","194719", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34103","A200000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
"-------------","-------------", ,"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS","","","","","","","","","", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , ,"Entity[34103] Report(A200000[0200])","Entity[34103] Report(A200000[0300])","Entity[34103] Report(A200000[0400])","Entity[34103] Report(A200000[0500])", ,"Entity[34103] Report(A200000[0700])","Entity[34103] Report(A200000[0800])","Entity[34103] Report(A200000[0900])", , , , , , 
"hospc_2013_DATA",34103,"A200000","Line(00500)", , , , ,"6271", , , , ,"6271", , , , , , 
"hospc_2013_DATA",34103,"A200000","Line(00600)", , , , , , , , ,"88515","88515", , , , , , 
"hospc_2013_DATA",34103,"A200000","Line(01600)", , , , ,"14059","91555", , , ,"105614", , , , , , 
"hospc_2013_DATA",34103,"A200000","Line(02000)", , , ,"13209", , , , , ,"13209", , , , , , 
"hospc_2013_DATA",34103,"A200000","Line(02100)", , , , , , , , ,"14941","14941", , , , , , 
"hospc_2013_DATA",34103,"A200000","Line(02400)", , , , , , , ,"25491", ,"25491", , , , , , 
"hospc_2013_DATA",34103,"A200000","Line(05000)", , , , ,"270", , , , ,"270", , , , , , 
"hospc_2013_DATA",34103,"A200000","Line(05200)", , , , , , , , ,"2212","2212", , , , , , 
"hospc_2013_DATA",34103,"A200000","Line(05300)", , ,"4537", , , , , ,"30221","34758", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34103","A300000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","COST CENTER DESCRIPTIONS","ADMINIS-","","SOCIAL","","","TOTAL","","","", , , , , , 
"-------------","-------------", ,"","(omit cents)","TRATOR","DIRECTOR","SERVICES","SUPERVISORS","NURSES","THERAPISTS","AIDES","ALL OTHER","TOTAL (1)", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
"-------------","-------------", ,"","GENERAL SERVICE COST CENTERS","","","","","","","","","", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , ,"Entity[34103] Report(A300000[0200])", , ,"Entity[34103] Report(A300000[0500])", ,"Entity[34103] Report(A300000[0700])","Entity[34103] Report(A300000[0800])","Entity[34103] Report(A300000[0900])", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(00500)", , , , , , , , ,"1013","1013", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(00600)", , , , , , , , ,"55162","55162", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(01000)", , , , , , , , ,"88379","88379", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(01500)", , ,"24000", , , , , , ,"24000", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(01600)", , , , , ,"90", , , ,"90", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(01620)", , , , , ,"267712", , , ,"267712", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(02420)", , , , , , , ,"6700", ,"6700", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(03000)", , , , , , , , ,"283548","283548", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(03100)", , , , , , , , ,"138380","138380", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(03200)", , , , , , , , ,"7564","7564", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(03400)", , , , , , , , ,"371","371", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(03500)", , , , , , , , ,"61301","61301", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(03900)", , , , , , , , ,"44232","44232", , , , , , 
"hospc_2013_DATA",34103,"A300000","Line(05300)", , , , , , , , ,"45572","45572", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34103","A600010 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","CODE","","","","","","","","", , , , , , 
"-------------","-------------", ,"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER", , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6","7","8","9", , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[34103] Report(A600010[0000])","Entity[34103] Report(A600010[0100])","Entity[34103] Report(A600010[0200])","Entity[34103] Report(A600010[0300])", ,"Entity[34103] Report(A600010[0500])","Entity[34103] Report(A600010[0600])","Entity[34103] Report(A600010[0700])", ,"Entity[34103] Report(A600010[0900])", , , , , , 
"hospc_2013_DATA",34103,"A600010","Line(00100)","ASSOCIATION_DUES_ALLOCABLE_TO_LOBBYI","A","OTHER NONREIMBURSABLE COSTS","53", ,"347","ADMINISTRATIVE AND GENERAL","6", ,"347", , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34103","A700000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","Beginning","","","","and","Ending", , , , , , , , , 
"-------------","-------------", ,"","Description","Balances","Purchases","Donation","Total","Retirements","Balance", , , , , , , , , 
"-------------","-------------", ,"","","1","2","3","4","5","6", , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[34103] Report(A700000[0100])","Entity[34103] Report(A700000[0200])", ,"Entity[34103] Report(A700000[0400])", ,"Entity[34103] Report(A700000[0600])", , , , , , , , , 
"hospc_2013_DATA",34103,"A700000","Line(00100)", ,"127195", , , , ,"127195", , , , , , , , , 
"hospc_2013_DATA",34103,"A700000","Line(00300)", ,"497965","1221575", ,"1221575", ,"1719540", , , , , , , , , 
"hospc_2013_DATA",34103,"A700000","Line(00400)", ,"50482","26800", ,"26800", ,"77282", , , , , , , , , 
"hospc_2013_DATA",34103,"A700000","Line(00600)", ,"3162190", , , , ,"3162190", , , , , , , , , 
"hospc_2013_DATA",34103,"A700000","Line(00700)", ,"3837832","1248375", ,"1248375", ,"5086207", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 34103","A800000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","-1","BASIS  FOR","","","WORKSHEET   A   TO / FROM   WHICH","","", , , , , , , , , 
"-------------","-------------", ,"","Description","ADJUST-","","","THE   AMOUNT  IS  TO  BE  ADJUSTED","","", , , , , , , , , 
"-------------","-------------", ,"","","MENT","AMOUNT","","COST  CENTER","","LINE  NO.", , , , , , , , , 
"-------------","-------------", ,"","","1","2","","3","","4", , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , ,"Entity[34103] Report(A800000[0000])","Entity[34103] Report(A800000[0100])","Entity[34103] Report(A800000[0200])","Entity[34103] Report(A800000[0300])","Entity[34103] Report(A800000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",34103,"A800000","Line(00600)", ,"A","-7111","ADMINISTRATIVE AND GENERAL","6", , , , , , , , , , , 
"hospc_2013_DATA",34103,"A800000","Line(00800)","MEDICAID_ROOM_AND_BOARD","A","-40635","OTHER NONREIMBURSABLE COSTS","53", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
