"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33881","S000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"use only","","  [  ]  Desk Reviewed","","","","Intermediary No.","","[  ] Final", , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[33881] Report(S000000[0100])","Entity[33881] Report(S000000[0200])","Entity[33881] Report(S000000[0300])", , , , , , , , , , , , 
"hospc_2013_DATA",33881,"S000000","Line(00100)", ,"1","02/28/2014","N", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 33881","S100000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"1","Name:","","","","Address:","","","City:","State:","Zip Code:     ","1", , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[33881] Report(S100000[0100])","Entity[33881] Report(S100000[0200])","Entity[33881] Report(S100000[0300])","Entity[33881] Report(S100000[0400])","Entity[33881] Report(S100000[0500])","Entity[33881] Report(S100000[0600])", , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(00100)", ,"HOSPICE OF MARTIN & ST. LUCIE  INC.","1201 S.E. INDIAN STREET","STUART","FL","34997-5688", , , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(00200)", ,"MARTIN", , , , , , , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(00300)", ,"12/28/1981", , , , , , , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(00400)", ,"08/13/1984","08/13/1984", , , , , , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(00500)", ,"10/01/2012","09/30/2013", , , , , , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(00600)", ,"101510", , , , , , , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(00700)", ,"4", , , , , , , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(00800)", ,"734","3","225", ,"51","788", , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(00900)", ,"71641","568","27165", ,"2066","74275", , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(01000)", ,"414", ,"145", , ,"414", , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(01100)", ,"2799","147","7", ,"293","3239", , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(01200)", ,"75588","718","27542", ,"2410","78716", , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(01300)", ,"1360","42","386", ,"92","1494", , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(01400)", ,"13401", ,"3961", , , , , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(01500)", ,"56","17","71", ,"26","53", , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(01600)", ,"1047","34","247", ,"84","1165", , , , , , , , , 
"hospc_2013_DATA",33881,"S100000","Line(01800)", ,"Y","10H072", , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
