"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35084","D000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","", , , , , , , , , , , 
"-------------","-------------", ,"COMPUTATION OF PER DIEM COST","","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , 
"-------------","-------------", ,"","","-1","-2","-3","-4", , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[35084] Report(D000000[0100])", ,"Entity[35084] Report(D000000[0300])","Entity[35084] Report(D000000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",35084,"D000000","Line(00100)", , , , ,"527515", , , , , , , , , , , 
"hospc_2013_DATA",35084,"D000000","Line(00200)", , , , ,"5001", , , , , , , , , , , 
"hospc_2013_DATA",35084,"D000000","Line(00300)", , , , ,"105", , , , , , , , , , , 
"hospc_2013_DATA",35084,"D000000","Line(00400)", ,"4861", , , , , , , , , , , , , , 
"hospc_2013_DATA",35084,"D000000","Line(00500)", ,"512738", , , , , , , , , , , , , , 
"hospc_2013_DATA",35084,"D000000","Line(00800)", ,"3033", , , , , , , , , , , , , , 
"hospc_2013_DATA",35084,"D000000","Line(00900)", ,"319921", , , , , , , , , , , , , , 
"hospc_2013_DATA",35084,"D000000","Line(01200)", , , ,"140", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
