"-------------","-------------", ,"HOSPC","hospc_2013_DATA"," 35239","D000000 ","-------------","-------------","-----------","", , , , , , , , , 
"-------------","-------------", ,"","","","","","", , , , , , , , , , , 
"-------------","-------------", ,"COMPUTATION OF PER DIEM COST","","TITLE XVIII","TITLE XIX","OTHER","TOTAL", , , , , , , , , , , 
"-------------","-------------", ,"","","-1","-2","-3","-4", , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , ,"Entity[35239] Report(D000000[0100])","Entity[35239] Report(D000000[0200])","Entity[35239] Report(D000000[0300])","Entity[35239] Report(D000000[0400])", , , , , , , , , , , 
"hospc_2013_DATA",35239,"D000000","Line(00100)", , , , ,"10745771", , , , , , , , , , , 
"hospc_2013_DATA",35239,"D000000","Line(00200)", , , , ,"78919", , , , , , , , , , , 
"hospc_2013_DATA",35239,"D000000","Line(00300)", , , , ,"136", , , , , , , , , , , 
"hospc_2013_DATA",35239,"D000000","Line(00400)", ,"68191", , , , , , , , , , , , , , 
"hospc_2013_DATA",35239,"D000000","Line(00500)", ,"9284887", , , , , , , , , , , , , , 
"hospc_2013_DATA",35239,"D000000","Line(00600)", , ,"2692", , , , , , , , , , , , , 
"hospc_2013_DATA",35239,"D000000","Line(00700)", , ,"366543", , , , , , , , , , , , , 
"hospc_2013_DATA",35239,"D000000","Line(01000)", , ,"932", , , , , , , , , , , , , 
"hospc_2013_DATA",35239,"D000000","Line(01100)", , ,"126901", , , , , , , , , , , , , 
"hospc_2013_DATA",35239,"D000000","Line(01200)", , , ,"8036", , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
